Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/R26/current/MICRON/,SDN:R26::MICRON,Micron Instruments,MICRON,"A manufacturing company located in Simi Valley, California (United States of America), specialised in the production and supply of semiconductor strain gages, pressure transducers, temperature sensors and measuring systems.",1,false,2021-02-11 14:21:39.0
http://vocab.nerc.ac.uk/collection/R26/current/WETLABS/,SDN:R26::WETLABS,Wetlabs Inc.,WETLABS,"A brand of Sea-Bird Scientific, the business manufactures oceanographic and environmental fluorometers, transmissometers, scattering sensors and spectrophotometers. The company was initially founded in 1992. Danaher acquired three ocean science instrumentation companies, Sea-Bird Electronics (2008), WET Labs (2010), and Satlantic (2011), which were then combined to form Sea-Bird Scientific.",1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/PAINE/,SDN:R26::PAINE,Paine Electronics,PAINE,Organisation e-mail: moreinfo@paineelectronics.com; Organisation website: http://www3.emersonprocess.com/rosemount/paineelectronics/default.aspx,1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/TSK/,SDN:R26::TSK,"Tsurumi-Seiki Co., Ltd.",TSK,"A Japanese manufacturer based in Yokohama (head office), specialised in the production of oceanographic observation equipment and water quality monitoring instruments.",1,false,2021-02-11 14:21:39.0
http://vocab.nerc.ac.uk/collection/R26/current/SATLANTIC/,SDN:R26::SATLANTIC,Satlantic Inc.,SATLANTIC,"An ocean technology company and brand of Sea-Bird Scientific that develops optical sensors for aquatic research and water quality monitoring. The company was initially founded in 1990. Danaher acquired three ocean science instrumentation companies, Sea-Bird Electronics (2008), WET Labs (2010), and Satlantic (2011), which were then combined to form Sea-Bird Scientific.",1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/AANDERAA/,SDN:R26::AANDERAA,Aanderaa,AANDERAA,"A Xylem brand, headquartered in Bergen (Norway) that designs, manufactures and sells sensors, instruments and systems for measuring and monitoring in Environmental Research, Marine Transportation, Oil and Gas, Aquaculture, Road and Traffic and Construction.",1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/TRIOS/,SDN:R26::TRIOS,TriOS Mess- und Datentechnik GmbH,TRIOS,"A manufacturing company located in Rastede, Germany, specialised in the production and supply of optical sensors including radiometers, photometers and fluorometers for marine research and industrial applications.",1,false,2021-02-11 14:21:39.0
http://vocab.nerc.ac.uk/collection/R26/current/SBE/,SDN:R26::SBE,Sea-Bird Scientific,SBE,"A large, global company based in the United States of America that develops and manufacturers products for the measurement of salinity, temperature, pressure, dissolved oxygen, fluorescence, nutrients and related oceanographic parameters in marine waters. It is formed from three ocean science companies, Sea-Bird Electronics, WET Labs and Satlantic that were combined in 2011.",1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/KELLER/,SDN:R26::KELLER,KELLER AG für Druckmesstechnik,KELLER,"A multinational technology company based in Winterthur, Switzerland, specialised in the manufacture of pressure sensors.",1,false,2021-02-11 14:21:39.0
http://vocab.nerc.ac.uk/collection/R26/current/KISTLER/,SDN:R26::KISTLER,Kistler,KISTLER,Organisation e-mail: Unavailable; Organisation website: https://www.kistler.com/en/,1,false,2019-10-11 15:08:43.0
http://vocab.nerc.ac.uk/collection/R26/current/JAC/,SDN:R26::JAC,"JFE Advantech Co., Ltd",JAC,"A Japanese company based in Nishinomiya that manufactures and sells measuring instruments, water level gauges, and other diagnostic equipment. It was established in 1973 and is a subsidiary of Kawasaki Steel, now known as JFE Steel.",1,false,2019-10-11 15:08:43.0

